"","genes","cluster"
"lpl2_a_DN37_c0_g1_i1","lpl2_a_DN37_c0_g1_i1",1
"lpl2_a_DN75_c0_g1_i3","lpl2_a_DN75_c0_g1_i3",1
"lpl2_a_DN96_c0_g1_i10","lpl2_a_DN96_c0_g1_i10",1
"lpl2_a_DN85_c0_g2_i1","lpl2_a_DN85_c0_g2_i1",1
"lpl2_a_DN93_c0_g1_i2","lpl2_a_DN93_c0_g1_i2",1
"lpl2_a_DN10_c0_g1_i6","lpl2_a_DN10_c0_g1_i6",1
"lpl2_a_DN22_c0_g1_i32","lpl2_a_DN22_c0_g1_i32",1
"lpl2_a_DN86_c0_g1_i1","lpl2_a_DN86_c0_g1_i1",1
"lpl2_a_DN68_c0_g2_i1","lpl2_a_DN68_c0_g2_i1",1
"lpl2_a_DN44_c0_g1_i7","lpl2_a_DN44_c0_g1_i7",1
"lpl2_a_DN18_c0_g1_i8","lpl2_a_DN18_c0_g1_i8",1
"lpl2_a_DN36_c0_g1_i1","lpl2_a_DN36_c0_g1_i1",1
"lpl2_a_DN14_c0_g1_i28","lpl2_a_DN14_c0_g1_i28",1
"lpl2_a_DN14_c2_g1_i1","lpl2_a_DN14_c2_g1_i1",1
"lpl2_a_DN7_c0_g1_i3","lpl2_a_DN7_c0_g1_i3",1
"lpl2_a_DN87_c0_g1_i2","lpl2_a_DN87_c0_g1_i2",1
"lpl2_a_DN97_c0_g1_i4","lpl2_a_DN97_c0_g1_i4",1
"lpl2_a_DN97_c0_g1_i5","lpl2_a_DN97_c0_g1_i5",1
"lpl2_a_DN12_c0_g1_i2","lpl2_a_DN12_c0_g1_i2",1
"lpl2_a_DN28_c1_g1_i1","lpl2_a_DN28_c1_g1_i1",1
"lpl2_a_DN66_c0_g2_i1","lpl2_a_DN66_c0_g2_i1",1
"lpl2_a_DN95_c0_g1_i4","lpl2_a_DN95_c0_g1_i4",1
"lpl2_a_DN70_c0_g1_i8","lpl2_a_DN70_c0_g1_i8",1
"lpl2_a_DN27_c0_g1_i11","lpl2_a_DN27_c0_g1_i11",1
"lpl2_a_DN42_c1_g1_i7","lpl2_a_DN42_c1_g1_i7",1
"lpl2_a_DN4_c0_g1_i1","lpl2_a_DN4_c0_g1_i1",1
"lpl2_a_DN31_c0_g1_i14","lpl2_a_DN31_c0_g1_i14",1
"lpl2_a_DN31_c0_g1_i15","lpl2_a_DN31_c0_g1_i15",1
"lpl2_a_DN67_c0_g1_i1","lpl2_a_DN67_c0_g1_i1",1
"lpl2_a_DN69_c0_g1_i3","lpl2_a_DN69_c0_g1_i3",1
"lpl2_a_DN29_c0_g1_i3","lpl2_a_DN29_c0_g1_i3",1
"lpl2_a_DN56_c0_g1_i6","lpl2_a_DN56_c0_g1_i6",1
"lpl2_a_DN9_c0_g1_i1","lpl2_a_DN9_c0_g1_i1",1
"lpl2_a_DN82_c0_g1_i3","lpl2_a_DN82_c0_g1_i3",1
"lpl2_a_DN6_c0_g1_i3","lpl2_a_DN6_c0_g1_i3",1
"lpl2_a_DN6_c0_g1_i6","lpl2_a_DN6_c0_g1_i6",1
"lpl2_a_DN99_c0_g2_i2","lpl2_a_DN99_c0_g2_i2",1
"lpl2_a_DN0_c0_g1_i1","lpl2_a_DN0_c0_g1_i1",1
"lpl2_a_DN13_c0_g1_i19","lpl2_a_DN13_c0_g1_i19",1
"lpl2_a_DN13_c0_g1_i24","lpl2_a_DN13_c0_g1_i24",1
"lpl2_a_DN3_c0_g1_i6","lpl2_a_DN3_c0_g1_i6",1
"lpl2_a_DN23040_c0_g1_i1","lpl2_a_DN23040_c0_g1_i1",1
"lpl2_a_DN1440_c2_g2_i1","lpl2_a_DN1440_c2_g2_i1",1
"lpl2_a_DN3233_c0_g1_i1","lpl2_a_DN3233_c0_g1_i1",1
"lpl2_a_DN12335_c0_g1_i1","lpl2_a_DN12335_c0_g1_i1",1
"lpl2_a_DN1563_c0_g1_i2","lpl2_a_DN1563_c0_g1_i2",1
