target_id	length	eff_length	est_counts	tpm
lpl2_a_DN3710_c0_g1_i4	588	390.33	0	0
lpl2_a_DN3710_c0_g3_i1	506	313.319	2	9.95649
lpl2_a_DN3775_c0_g1_i1	902	699.566	2	4.45927
lpl2_a_DN3775_c0_g2_i1	618	419.104	0	0
lpl2_a_DN3775_c0_g2_i2	1586	1383.43	1	1.12747
lpl2_a_DN3759_c0_g1_i1	2864	2661.43	2	1.17214
lpl2_a_DN3752_c0_g1_i1	679	478.116	0	0
lpl2_a_DN3767_c0_g1_i1	1973	1770.43	2	1.76203
lpl2_a_DN3763_c0_g1_i1	1168	965.428	1	1.61563
lpl2_a_DN3787_c0_g1_i1	1500	1297.43	2	2.40442
lpl2_a_DN3793_c0_g1_i1	1162	959.428	3	4.87721
lpl2_a_DN3799_c0_g1_i2	659	458.865	0	0
lpl2_a_DN3798_c0_g2_i2	2677	2474.43	1	0.630359
lpl2_a_DN3780_c0_g1_i1	533	338.679	0	0
lpl2_a_DN3780_c0_g2_i1	719	517.675	0	0
lpl2_a_DN3796_c0_g1_i1	970	767.566	0	0
lpl2_a_DN3736_c0_g1_i1	519	325.338	0	0
lpl2_a_DN3772_c0_g1_i1	1250	1047.43	0	0
lpl2_a_DN3781_c0_g1_i1	1387	1184.43	1	1.3169
lpl2_a_DN3797_c1_g1_i1	981	778.498	2	4.00715
lpl2_a_DN3779_c0_g1_i1	537	342.341	3	13.6686
lpl2_a_DN3747_c1_g1_i1	755	553.154	0	0
lpl2_a_DN3741_c1_g1_i1	857	654.625	0	0
lpl2_a_DN3782_c0_g1_i1	1141	938.428	0	0
lpl2_a_DN3776_c0_g1_i1	1081	878.428	0	0
lpl2_a_DN3771_c0_g2_i1	985	782.498	0	0
lpl2_a_DN3742_c0_g1_i3	3914	3711.43	3	1.26079
lpl2_a_DN3791_c0_g1_i1	606	407.548	1	3.82722
lpl2_a_DN3762_c0_g1_i1	1170	967.428	0	0
lpl2_a_DN3762_c0_g2_i1	573	376.12	0	0
lpl2_a_DN5_c0_g1_i2	14055	13852.4	120	13.5119
lpl2_a_DN89_c0_g1_i3	1909	1706.43	9	8.22654
lpl2_a_DN89_c0_g2_i1	1124	921.428	1	1.69278
lpl2_a_DN37_c0_g1_i1	7387	7184.43	19	4.125
lpl2_a_DN75_c0_g1_i3	1818	1615.43	4.26655	4.11957
lpl2_a_DN75_c0_g2_i1	1471	1268.43	0	0
lpl2_a_DN96_c0_g1_i10	6907	6704.43	4.80769	1.1185
lpl2_a_DN96_c0_g1_i3	6952	6749.43	3.19231	0.737735
lpl2_a_DN96_c0_g2_i1	6437	6234.43	7	1.75131
lpl2_a_DN96_c0_g3_i1	947	744.566	0	0
lpl2_a_DN8_c0_g1_i1	1662	1459.43	8	8.55008
lpl2_a_DN85_c0_g2_i1	2778	2575.43	1.58655	0.960878
lpl2_a_DN93_c0_g1_i2	3590	3387.43	1	0.460461
lpl2_a_DN93_c0_g2_i1	789	586.953	1	2.65742
lpl2_a_DN10_c0_g1_i6	2288	2085.43	186	139.117
lpl2_a_DN52_c0_g1_i1	745	543.3	2	5.74186
lpl2_a_DN52_c0_g2_i1	635	435.46	3	10.7457
lpl2_a_DN22_c0_g1_i32	703	501.856	33.7272	104.825
lpl2_a_DN86_c0_g1_i1	15392	15189.4	26.71	2.74281
lpl2_a_DN47_c0_g1_i3	1024	821.428	1	1.89886
lpl2_a_DN55_c0_g1_i1	1469	1266.43	1	1.23164
lpl2_a_DN55_c0_g2_i2	2679	2476.43	2	1.2597
lpl2_a_DN38_c0_g1_i2	2502	2299.43	0	0
lpl2_a_DN38_c0_g1_i4	2569	2366.43	3	1.97738
lpl2_a_DN51_c0_g1_i9	3183	2980.43	1	0.52334
lpl2_a_DN68_c0_g1_i1	1272	1069.43	0	0
lpl2_a_DN68_c0_g2_i1	559	362.883	0	0
lpl2_a_DN44_c0_g1_i7	3132	2929.43	7695.28	4097.36
lpl2_a_DN18_c0_g1_i8	6303	6100.43	146.993	37.5838
lpl2_a_DN46_c0_g1_i1	945	742.566	1	2.10052
lpl2_a_DN46_c0_g4_i1	2470	2267.43	0	0
lpl2_a_DN2_c0_g1_i2	2818	2615.43	8	4.77101
lpl2_a_DN94_c0_g2_i1	2961	2758.43	3	1.69638
lpl2_a_DN94_c0_g3_i1	850	647.625	0	0
lpl2_a_DN36_c0_g1_i1	2156	1953.43	2	1.59696
lpl2_a_DN36_c0_g2_i1	3414	3211.43	1	0.485696
lpl2_a_DN26_c0_g1_i1	2852	2649.43	5	2.94361
lpl2_a_DN26_c0_g2_i1	2924	2721.43	4	2.29259
lpl2_a_DN14_c0_g1_i28	1661	1458.43	42.7955	45.7695
lpl2_a_DN14_c2_g1_i1	1535	1332.43	8.03653	9.40779
lpl2_a_DN7_c0_g1_i3	1170	967.428	93.0691	150.055
lpl2_a_DN87_c0_g1_i2	2020	1817.43	1.49838	1.28596
lpl2_a_DN87_c0_g1_i3	3115	2912.43	3	1.60668
lpl2_a_DN87_c0_g2_i1	637	437.343	0	0
lpl2_a_DN87_c1_g1_i1	1200	997.428	0	0
lpl2_a_DN87_c1_g2_i1	605	406.585	1	3.83629
lpl2_a_DN97_c0_g1_i4	11321	11118.4	8.40581	1.17923
lpl2_a_DN97_c0_g1_i5	3637	3434.43	7.74902	3.51929
lpl2_a_DN84_c0_g1_i1	744	542.3	1	2.87622
lpl2_a_DN12_c0_g1_i2	585	387.574	211.511	851.219
lpl2_a_DN28_c0_g1_i4	5108	4905.43	10.8028	3.43495
lpl2_a_DN28_c1_g1_i1	12541	12338.4	28.0281	3.54321
lpl2_a_DN57_c0_g1_i1	579	381.78	1	4.08554
lpl2_a_DN34_c0_g1_i1	2565	2362.43	4	2.64097
lpl2_a_DN34_c0_g2_i1	1086	883.428	1	1.7656
lpl2_a_DN66_c0_g1_i1	1380	1177.43	0	0
lpl2_a_DN66_c0_g2_i1	1142	939.428	3	4.98105
lpl2_a_DN95_c0_g1_i4	6191	5988.43	6	1.56279
lpl2_a_DN95_c0_g2_i1	4030	3827.43	2	0.815053
lpl2_a_DN92_c0_g1_i2	1124	921.428	2	3.38557
lpl2_a_DN92_c0_g1_i3	882	679.566	2	4.59051
lpl2_a_DN92_c1_g1_i1	2627	2424.43	4	2.57344
lpl2_a_DN92_c1_g1_i3	1089	886.428	2	3.51924
lpl2_a_DN92_c1_g1_i4	811	608.848	0	0
lpl2_a_DN92_c1_g2_i1	968	765.566	0	0
lpl2_a_DN70_c0_g1_i2	777	575.056	11.9972	32.5413
