target_id	length	eff_length	est_counts	tpm
lpl2_a_DN3710_c0_g1_i4	588	419.575	0	0
lpl2_a_DN3710_c0_g3_i1	506	338.838	0	0
lpl2_a_DN3775_c0_g1_i1	902	732.612	0	0
lpl2_a_DN3775_c0_g2_i1	618	449.575	0	0
lpl2_a_DN3775_c0_g2_i2	1586	1416.61	0	0
lpl2_a_DN3759_c0_g1_i1	2864	2694.61	0	0
lpl2_a_DN3752_c0_g1_i1	679	509.846	0	0
lpl2_a_DN3767_c0_g1_i1	1973	1803.61	1	5.37937
lpl2_a_DN3763_c0_g1_i1	1168	998.612	0	0
lpl2_a_DN3787_c0_g1_i1	1500	1330.61	0	0
lpl2_a_DN3793_c0_g1_i1	1162	992.612	0	0
lpl2_a_DN3799_c0_g1_i2	659	489.953	0	0
lpl2_a_DN3798_c0_g2_i2	2677	2507.61	0	0
lpl2_a_DN3780_c0_g1_i1	533	365.454	0	0
lpl2_a_DN3780_c0_g2_i1	719	549.612	1	17.653
lpl2_a_DN3796_c0_g1_i1	970	800.612	0	0
lpl2_a_DN3736_c0_g1_i1	519	351.689	0	0
lpl2_a_DN3772_c0_g1_i1	1250	1080.61	0	0
lpl2_a_DN3781_c0_g1_i1	1387	1217.61	0	0
lpl2_a_DN3797_c1_g1_i1	981	811.612	0	0
lpl2_a_DN3779_c0_g1_i1	537	369.454	0	0
lpl2_a_DN3747_c1_g1_i1	755	585.612	0	0
lpl2_a_DN3741_c1_g1_i1	857	687.612	0	0
lpl2_a_DN3782_c0_g1_i1	1141	971.612	0	0
lpl2_a_DN3776_c0_g1_i1	1081	911.612	0	0
lpl2_a_DN3771_c0_g2_i1	985	815.612	0	0
lpl2_a_DN3742_c0_g1_i3	3914	3744.61	0	0
lpl2_a_DN3791_c0_g1_i1	606	437.575	0	0
lpl2_a_DN3762_c0_g1_i1	1170	1000.61	1	9.69636
lpl2_a_DN3762_c0_g2_i1	573	405.203	0	0
lpl2_a_DN5_c0_g1_i2	14055	13885.6	5	3.49365
lpl2_a_DN89_c0_g1_i3	1909	1739.61	0	0
lpl2_a_DN89_c0_g2_i1	1124	954.612	0	0
lpl2_a_DN37_c0_g1_i1	7387	7217.61	1	1.34425
lpl2_a_DN75_c0_g1_i3	1818	1648.61	0	0
lpl2_a_DN75_c0_g2_i1	1471	1301.61	0	0
lpl2_a_DN96_c0_g1_i10	6907	6737.61	0	0
lpl2_a_DN96_c0_g1_i3	6952	6782.61	0	0
lpl2_a_DN96_c0_g2_i1	6437	6267.61	0	0
lpl2_a_DN96_c0_g3_i1	947	777.612	0	0
lpl2_a_DN8_c0_g1_i1	1662	1492.61	0	0
lpl2_a_DN85_c0_g2_i1	2778	2608.61	1	3.71933
lpl2_a_DN93_c0_g1_i2	3590	3420.61	0	0
lpl2_a_DN93_c0_g2_i1	789	619.612	0	0
lpl2_a_DN10_c0_g1_i6	2288	2118.61	0	0
lpl2_a_DN52_c0_g1_i1	745	575.612	0	0
lpl2_a_DN52_c0_g2_i1	635	466.477	0	0
lpl2_a_DN22_c0_g1_i32	703	533.846	5.29312	96.1989
lpl2_a_DN86_c0_g1_i1	15392	15222.6	1	0.637361
lpl2_a_DN47_c0_g1_i3	1024	854.612	0	0
lpl2_a_DN55_c0_g1_i1	1469	1299.61	0	0
lpl2_a_DN55_c0_g2_i2	2679	2509.61	0	0
lpl2_a_DN38_c0_g1_i2	2502	2332.61	0	0
lpl2_a_DN38_c0_g1_i4	2569	2399.61	0	0
lpl2_a_DN51_c0_g1_i9	3183	3013.61	0	0
lpl2_a_DN68_c0_g1_i1	1272	1102.61	0	0
lpl2_a_DN68_c0_g2_i1	559	391.203	0	0
lpl2_a_DN44_c0_g1_i7	3132	2962.61	66.4692	217.681
lpl2_a_DN18_c0_g1_i8	6303	6133.61	8.48122	13.4158
lpl2_a_DN46_c0_g1_i1	945	775.612	0	0
lpl2_a_DN46_c0_g4_i1	2470	2300.61	0	0
