Transcript	Tax_Annotation	Max_Annotation	Description	PFAM	KO_All	KO_sig	Pathway_all	Pathway_sig	GO_BP	GO_sig	Figure_term	
hpl7_a_DN3203_c0_g1_i4	KOG1075@1|root,KOG1075@2759|Eukaryota,39XVS@33154|Opisthokonta	33154|Opisthokonta	MAP kinase activity	Exo_endo_phos_2,RVT_1	-		-		-			
hpl7_a_DN3_c0_g1_i8	COG0843@1|root,COG1622@1|root,KOG4767@2759|Eukaryota,KOG4769@2759|Eukaryota,38JQ7@33154|Opisthokonta,3NYGG@4751|Fungi,3QSKE@4890|Ascomycota,207T2@147541|Dothideomycetes,4KFX1@92860|Pleosporales	4751|Fungi	Cytochrome C and Quinol oxidase polypeptide I	COX1	ko:K02256	cytochrome c oxidase subunit 1 [EC:7.1.1.9],	ko00190,ko01100,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04260,map04714,map04932,map05010,map05012,map05016	Thermogenesis,	GO:0003674,GO:0003824,GO:0004129,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005751,GO:0006091,GO:0006119,GO:0006123,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0008324,GO:0009055,GO:0009060,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015002,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015672,GO:0015980,GO:0015988,GO:0015990,GO:0016020,GO:0016021,GO:0016310,GO:0016491,GO:0016675,GO:0016676,GO:0017144,GO:0019637,GO:0019646,GO:0019693,GO:0019866,GO:0022857,GO:0022890,GO:0022900,GO:0022904,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0034220,GO:0034641,GO:0042773,GO:0042775,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045277,GO:0045333,GO:0046034,GO:0046483,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0055114,GO:0070069,GO:0070469,GO:0071704,GO:0072521,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901564,GO:1902600	cellular nitrogen compound metabolic pro...,organonitrogen compound metabolic proces...,mitochondrial electron transport, cytoch...,cellular metabolic process,nitrogen compound metabolic process,electron transport coupled proton transp...,mitochondrial ATP synthesis coupled elec...,energy coupled proton transmembrane tran...,ATP synthesis coupled electron transport,	Cellular Respiration	
hpl7_b_DN18_c0_g1_i31	2AU0F@1|root,31JKB@2|Bacteria,4NHS6@976|Bacteroidetes,2FPSJ@200643|Bacteroidia,2308M@171551|Porphyromonadaceae	976|Bacteroidetes	COG NOG14600 non supervised orthologous group	-	-		-		-			
hpl7_b_DN22494_c0_g1_i1	COG5051@1|root,KOG3452@2759|Eukaryota,3A5S5@33154|Opisthokonta,3P53R@4751|Fungi,3QW2G@4890|Ascomycota,20I0P@147545|Eurotiomycetes	4751|Fungi	Belongs to the eukaryotic ribosomal protein eL36 family	Ribosomal_L36e	ko:K02920		ko03010,map03010	Ribosome,	GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	cytoplasmic translation,translation,peptide biosynthetic process,peptide metabolic process,amide biosynthetic process,cellular amide metabolic process,protein metabolic process,cellular macromolecule biosynthetic proc...,macromolecule biosynthetic process,gene expression,cellular nitrogen compound metabolic pro...,organonitrogen compound biosynthetic pro...,cellular macromolecule metabolic process,cellular nitrogen compound biosynthetic ...,organonitrogen compound metabolic proces...,macromolecule metabolic process,cellular metabolic process,nitrogen compound metabolic process,	Translation	
hpl7_b_DN39_c0_g1_i12	2DN97@1|root,32W7A@2|Bacteria,1VANB@1239|Firmicutes,4HYZ4@91061|Bacilli	91061|Bacilli	-	-	-		-		-			
hpl7_b_DN89_c0_g1_i2	COG0255@1|root,KOG3436@2759|Eukaryota	2759|Eukaryota	ribosomal protein	Ribosomal_L29	ko:K02918,ko:K07151,ko:K20184		ko00510,ko00513,ko01100,ko03010,ko04138,ko04141,map00510,map00513,map01100,map03010,map04138,map04141	Ribosome,Protein processing in endoplasmic reticulum,	GO:0000184,GO:0000463,GO:0000470,GO:0000956,GO:0002181,GO:0002262,GO:0002376,GO:0002520,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005783,GO:0005789,GO:0005791,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006518,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0007275,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009790,GO:0009792,GO:0009892,GO:0009987,GO:0010224,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0012505,GO:0015031,GO:0015833,GO:0015934,GO:0016020,GO:0016070,GO:0016071,GO:0016072,GO:0019222,GO:0019439,GO:0019538,GO:0022613,GO:0022625,GO:0022626,GO:0030097,GO:0030099,GO:0030154,GO:0030218,GO:0030684,GO:0030687,GO:0030867,GO:0031090,GO:0031974,GO:0031981,GO:0031984,GO:0032501,GO:0032502,GO:0032991,GO:0033036,GO:0033365,GO:0034101,GO:0034470,GO:0034613,GO:0034641,GO:0034644,GO:0034645,GO:0034655,GO:0034660,GO:0042175,GO:0042254,GO:0042273,GO:0042592,GO:0042886,GO:0043009,GO:0043021,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044432,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044877,GO:0045047,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048513,GO:0048519,GO:0048534,GO:0048731,GO:0048856,GO:0048869,GO:0048872,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051716,GO:0051726,GO:0060255,GO:0065007,GO:0065008,GO:0070013,GO:0070727,GO:0070972,GO:0071214,GO:0071478,GO:0071482,GO:0071493,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0090304,GO:0097159,GO:0098552,GO:0098554,GO:0098556,GO:0098562,GO:0098588,GO:0098827,GO:0104004,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1990904	cytoplasmic translation,translation,peptide biosynthetic process,peptide metabolic process,amide biosynthetic process,cellular amide metabolic process,intracellular protein transport,protein metabolic process,intracellular transport,protein transport,establishment of localization in cell,establishment of protein localization,ribosome biogenesis,ribonucleoprotein complex biogenesis,cellular macromolecule biosynthetic proc...,establishment of protein localization to...,macromolecule biosynthetic process,protein localization,gene expression,cellular macromolecule localization,protein localization to organelle,cellular nitrogen compound metabolic pro...,organonitrogen compound biosynthetic pro...,developmental process,protein targeting,peptide transport,cellular macromolecule metabolic process,amide transport,cellular localization,cellular response to abiotic stimulus,cellular response to environmental stimu...,cell differentiation,cellular component biogenesis,macromolecule localization,cellular developmental process,cellular nitrogen compound biosynthetic ...,organonitrogen compound metabolic proces...,multicellular organism development,rRNA processing,myeloid cell differentiation,rRNA metabolic process,macromolecule metabolic process,embryo development ending in birth or eg...,multicellular organismal process,cellular response to UV,cellular response to radiation,cellular response to light stimulus,homeostatic process,nuclear-transcribed mRNA catabolic proce...,nuclear-transcribed mRNA catabolic proce...,immune system development,hemopoiesis,hematopoietic or lymphoid organ developm...,cellular metabolic process,nitrogen compound metabolic process,anatomical structure development,cellular component organization or bioge...,nitrogen compound transport,ncRNA processing,response to abiotic stimulus,cotranslational protein targeting to mem...,SRP-dependent cotranslational protein ta...,protein targeting to ER,regulation of cell cycle,protein localization to endoplasmic reti...,establishment of protein localization to...,	Translation	
hpl7_b_DN95_c0_g1_i1	2ED08@1|root,33H8A@2|Bacteria	2|Bacteria	-	-	-		-		-			
hpl7_c_DN136_c0_g1_i5	COG5640@1|root,KOG3627@2759|Eukaryota,3A2GD@33154|Opisthokonta,3Q30H@4751|Fungi,3RK26@4890|Ascomycota,209CN@147541|Dothideomycetes,4KG8M@92860|Pleosporales	4751|Fungi	Belongs to the peptidase S1 family	Trypsin	ko:K01312		ko04080,ko04972,ko04974,ko05164,map04080,map04972,map04974,map05164	Influenza A,	-		Protein Metabolism	Trypsin
hpl8_a_DN1_c1_g1_i42	2DSV3@1|root,33HII@2|Bacteria,1VQ64@1239|Firmicutes,4IGTW@91061|Bacilli,3F8RY@33958|Lactobacillaceae	91061|Bacilli	ORF located using Blastx	-	-		-		-			
hpl8_a_DN225_c0_g1_i1	KOG1075@1|root,KOG1075@2759|Eukaryota,39XVS@33154|Opisthokonta	33154|Opisthokonta	MAP kinase activity	Exo_endo_phos_2,RNase_H,RVT_1	-		-		-			
