target_id	length	eff_length	est_counts	tpm
lpl2_a_DN3710_c0_g1_i4	588	425.853	0	0
lpl2_a_DN3710_c0_g3_i1	506	344.661	0	0
lpl2_a_DN3775_c0_g1_i1	902	739.206	0	0
lpl2_a_DN3775_c0_g2_i1	618	455.532	1	1.16094
lpl2_a_DN3775_c0_g2_i2	1586	1423.21	0	0
lpl2_a_DN3759_c0_g1_i1	2864	2701.21	2	0.391564
lpl2_a_DN3752_c0_g1_i1	679	516.315	0	0
lpl2_a_DN3767_c0_g1_i1	1973	1810.21	2	0.584295
lpl2_a_DN3763_c0_g1_i1	1168	1005.21	0	0
lpl2_a_DN3787_c0_g1_i1	1500	1337.21	2	0.790973
lpl2_a_DN3793_c0_g1_i1	1162	999.206	0	0
lpl2_a_DN3799_c0_g1_i2	659	496.315	0	0
lpl2_a_DN3798_c0_g2_i2	2677	2514.21	2	0.420687
lpl2_a_DN3780_c0_g1_i1	533	371.402	0	0
lpl2_a_DN3780_c0_g2_i1	719	556.315	0	0
lpl2_a_DN3796_c0_g1_i1	970	807.206	0	0
lpl2_a_DN3736_c0_g1_i1	519	357.469	0	0
lpl2_a_DN3772_c0_g1_i1	1250	1087.21	0	0
lpl2_a_DN3781_c0_g1_i1	1387	1224.21	0	0
lpl2_a_DN3797_c1_g1_i1	981	818.206	1	0.64635
lpl2_a_DN3779_c0_g1_i1	537	375.402	0	0
lpl2_a_DN3747_c1_g1_i1	755	592.263	0	0
lpl2_a_DN3741_c1_g1_i1	857	694.206	2	1.5236
lpl2_a_DN3782_c0_g1_i1	1141	978.206	0	0
lpl2_a_DN3776_c0_g1_i1	1081	918.206	0	0
lpl2_a_DN3771_c0_g2_i1	985	822.206	0	0
lpl2_a_DN3742_c0_g1_i3	3914	3751.21	1	0.140981
lpl2_a_DN3791_c0_g1_i1	606	443.613	0	0
lpl2_a_DN3762_c0_g1_i1	1170	1007.21	2	1.05013
lpl2_a_DN3762_c0_g2_i1	573	411.005	0	0
lpl2_a_DN5_c0_g1_i2	14055	13892.2	231	8.79368
lpl2_a_DN89_c0_g1_i3	1909	1746.21	1	0.302855
lpl2_a_DN89_c0_g2_i1	1124	961.206	0	0
lpl2_a_DN37_c0_g1_i1	7387	7224.21	40	2.92819
lpl2_a_DN75_c0_g1_i3	1818	1655.21	2.15872	0.689721
lpl2_a_DN75_c0_g2_i1	1471	1308.21	0	0
lpl2_a_DN96_c0_g1_i10	6907	6744.21	2.01116	0.157705
lpl2_a_DN96_c0_g1_i3	6952	6789.21	9.98884	0.778084
lpl2_a_DN96_c0_g2_i1	6437	6274.21	5	0.421445
lpl2_a_DN96_c0_g3_i1	947	784.206	1	0.674373
lpl2_a_DN8_c0_g1_i1	1662	1499.21	18	6.34953
lpl2_a_DN85_c0_g2_i1	2778	2615.21	5.83917	1.1808
lpl2_a_DN93_c0_g1_i2	3590	3427.21	6	0.925851
lpl2_a_DN93_c0_g2_i1	789	626.263	0	0
lpl2_a_DN10_c0_g1_i6	2288	2125.21	188	46.7829
lpl2_a_DN52_c0_g1_i1	745	582.263	1	0.908261
lpl2_a_DN52_c0_g2_i1	635	472.446	0	0
