"","hpl4_a","hpl4_b","hpl4_c","hpl7_a","hpl7_b","hpl7_c","hpl8_a","hpl8_b","hpl8_c","lpl2_a","lpl2_b","lpl2_c","lpl6_a","lpl6_b","lpl6_c","lpl7_a","lpl7_b","lpl7_c","mpl4_a","mpl4_b","mpl4_c","mpl5_a","mpl5_b","mpl5_c","mpl9_a","mpl9_b","mpl9_c"
"lpl2_a_DN3710_c0_g1_i4",0,0,2.12575749514148,0,0,0,0,0,0,24.4195916680044,0,0,0,0.675609653405743,0,0,2.3591942655483,0,0,0,0,0,0,0,0,0,0
"lpl2_a_DN3710_c0_g3_i1",0,0,0,0,0,0,0.589488321746934,0,0,30.78504720276,1.9571605073967,0,1.17345805534943,0,3.57340696282215,1.33877386088084,0,1.51425862593676,0,0,0,0,0,0,0.86909880122922,0,0.827927361855988
"lpl2_a_DN3775_c0_g1_i1",0,0,0,0,0.706561826776154,0,0,0,0,73.9751168827777,0,1.23020234403736,0,0,0.891970285183579,1.3084697315733,2.31812653285296,1.49198341514011,0,0,0,0,0,0,1.41231243950141,0.276640915633035,0
"lpl2_a_DN3775_c0_g2_i1",0,0,0,0.303598806196915,0,0,0,0,0,16.2317899496806,1.95783739340837,0,0,0.674801721917416,0,0,0,0,0,0,0,0,0,0,0,0,0
"lpl2_a_DN3775_c0_g2_i2",0,0,0,0,0,0,0,0.809230118568679,0,75.0987920271029,0,4.91094986653835,0.38655978072351,1.30253281765811,1.7785845779245,0.643210767869053,6.8850521082287,1.48085583566269,0,0,0,0,0,0,0,0.560134597753777,0
"lpl2_a_DN3759_c0_g1_i1",0,0,0,0.623025365666084,0,0,0,0.808374323326522,0.734939942218023,121.82123833819,1.90112564616813,1.22643076872723,0.771211389604548,0.64548713808391,4.43971073887967,1.27546213914004,4.56706012599254,0,0,0,2.78717531982549,0,0,1.01039379891039,3.75767349430635,1.40912166690937,0
"lpl2_a_DN3752_c0_g1_i1",0,0,0,0,0,0,0,0.81263140430094,0,28.2793364293343,0,0,0,0,2.68102978838067,0,2.34146605121765,0,1.02938783879141,0,2.78842186649645,0,0,0,0.525576657767128,0.273751861585619,0
"lpl2_a_DN3767_c0_g1_i1",1.08579268771976,3.40031183984176,0,0.621338180568221,0,2.86557044853346,0.580780091118929,0.808843992784938,0,139.947770430071,5.72285558073649,7.36288726866066,1.93063895544191,3.24318286664387,0,1.28143559346994,0,4.43492369761207,1.03788303130831,0,0,0,0,3.03007933627375,4.28384612597764,4.21291983198586,0.831653008692301
"lpl2_a_DN3763_c0_g1_i1",1.08822570092149,0,0,0,0,0,0,0,0,61.5814125712442,0,0,0,0,0,0.648142915981034,0,0,0,0,0,0,0,0,1.064474830755,1.11408992442733,0
"lpl2_a_DN3787_c0_g1_i1",0,0,0,0.619525061326459,0,0,0,0,0,63.291306971242,3.82931712713521,1.22791454400727,0,0.652063554795781,0,1.28793249651417,0,0,0,0,2.78753232936271,0,0,1.00962432208789,1.42413549448936,0.27982840822692,0.83108429565866
