target_id	length	eff_length	est_counts	tpm
lpl2_a_DN3710_c0_g1_i4	588	433.988	1	5.16828
lpl2_a_DN3710_c0_g3_i1	506	353.118	0	0
lpl2_a_DN3775_c0_g1_i1	902	746.985	0	0
lpl2_a_DN3775_c0_g2_i1	618	463.672	0	0
lpl2_a_DN3775_c0_g2_i2	1586	1430.98	0	0
lpl2_a_DN3759_c0_g1_i1	2864	2708.98	0	0
lpl2_a_DN3752_c0_g1_i1	679	524.381	0	0
lpl2_a_DN3767_c0_g1_i1	1973	1817.98	0	0
lpl2_a_DN3763_c0_g1_i1	1168	1012.98	0	0
lpl2_a_DN3787_c0_g1_i1	1500	1344.98	0	0
lpl2_a_DN3793_c0_g1_i1	1162	1006.98	0	0
lpl2_a_DN3799_c0_g1_i2	659	504.501	0	0
lpl2_a_DN3798_c0_g2_i2	2677	2521.98	1	0.889369
lpl2_a_DN3780_c0_g1_i1	533	379.689	0	0
lpl2_a_DN3780_c0_g2_i1	719	564.252	0	0
lpl2_a_DN3796_c0_g1_i1	970	814.985	0	0
lpl2_a_DN3736_c0_g1_i1	519	365.95	0	0
lpl2_a_DN3772_c0_g1_i1	1250	1094.98	0	0
lpl2_a_DN3781_c0_g1_i1	1387	1231.98	0	0
lpl2_a_DN3797_c1_g1_i1	981	825.985	0	0
lpl2_a_DN3779_c0_g1_i1	537	383.644	0	0
lpl2_a_DN3747_c1_g1_i1	755	599.985	0	0
lpl2_a_DN3741_c1_g1_i1	857	701.985	0	0
lpl2_a_DN3782_c0_g1_i1	1141	985.985	0	0
lpl2_a_DN3776_c0_g1_i1	1081	925.985	0	0
lpl2_a_DN3771_c0_g2_i1	985	829.985	0	0
lpl2_a_DN3742_c0_g1_i3	3914	3758.98	2	1.19339
lpl2_a_DN3791_c0_g1_i1	606	451.885	0	0
lpl2_a_DN3762_c0_g1_i1	1170	1014.98	0	0
lpl2_a_DN3762_c0_g2_i1	573	419.088	0	0
lpl2_a_DN5_c0_g1_i2	14055	13900	70	11.2956
lpl2_a_DN89_c0_g1_i3	1909	1753.98	1	1.27879
lpl2_a_DN89_c0_g2_i1	1124	968.985	0	0
lpl2_a_DN37_c0_g1_i1	7387	7231.98	10	3.10147
lpl2_a_DN75_c0_g1_i3	1818	1662.98	0	0
lpl2_a_DN75_c0_g2_i1	1471	1315.98	0	0
lpl2_a_DN96_c0_g1_i10	6907	6751.98	7	2.32537
lpl2_a_DN96_c0_g1_i3	6952	6796.98	0	0
lpl2_a_DN96_c0_g2_i1	6437	6281.98	0	0
lpl2_a_DN96_c0_g3_i1	947	791.985	0	0
lpl2_a_DN8_c0_g1_i1	1662	1506.98	1	1.48839
lpl2_a_DN85_c0_g2_i1	2778	2622.98	1	0.855124
lpl2_a_DN93_c0_g1_i2	3590	3434.98	2	1.30596
lpl2_a_DN93_c0_g2_i1	789	633.985	0	0
lpl2_a_DN10_c0_g1_i6	2288	2132.98	32	33.6501
lpl2_a_DN52_c0_g1_i1	745	589.985	0	0
lpl2_a_DN52_c0_g2_i1	635	480.56	1	4.66743
lpl2_a_DN22_c0_g1_i32	703	548.381	1.32543	5.42126
lpl2_a_DN86_c0_g1_i1	15392	15237	11	1.61927
lpl2_a_DN47_c0_g1_i3	1024	868.985	1	2.58115
lpl2_a_DN55_c0_g1_i1	1469	1313.98	0	0
lpl2_a_DN55_c0_g2_i2	2679	2523.98	0	0
lpl2_a_DN38_c0_g1_i2	2502	2346.98	0	0
lpl2_a_DN38_c0_g1_i4	2569	2413.98	3	2.78748
lpl2_a_DN51_c0_g1_i9	3183	3027.98	3	2.22225
lpl2_a_DN68_c0_g1_i1	1272	1116.98	0	0
lpl2_a_DN68_c0_g2_i1	559	405.28	0	0
lpl2_a_DN44_c0_g1_i7	3132	2976.98	3595.76	2709.18
lpl2_a_DN18_c0_g1_i8	6303	6147.98	58.5714	21.3687
lpl2_a_DN46_c0_g1_i1	945	789.985	0	0
lpl2_a_DN46_c0_g4_i1	2470	2314.98	0	0
lpl2_a_DN2_c0_g1_i2	2818	2662.98	3	2.52684
lpl2_a_DN94_c0_g2_i1	2961	2805.98	0	0
lpl2_a_DN94_c0_g3_i1	850	694.985	0	0
lpl2_a_DN36_c0_g1_i1	2156	2000.98	1	1.12094
lpl2_a_DN36_c0_g2_i1	3414	3258.98	2	1.37649
lpl2_a_DN26_c0_g1_i1	2852	2696.98	0	0
