target_id	length	eff_length	est_counts	tpm
lpl2_a_DN3710_c0_g1_i4	588	412.508	0	0
lpl2_a_DN3710_c0_g3_i1	506	333.677	0	0
lpl2_a_DN3775_c0_g1_i1	902	724.169	0	0
lpl2_a_DN3775_c0_g2_i1	618	441.833	0	0
lpl2_a_DN3775_c0_g2_i2	1586	1408.08	0	0
lpl2_a_DN3759_c0_g1_i1	2864	2686.08	1	0.805246
lpl2_a_DN3752_c0_g1_i1	679	501.592	1	4.31218
lpl2_a_DN3767_c0_g1_i1	1973	1795.08	0	0
lpl2_a_DN3763_c0_g1_i1	1168	990.079	0	0
lpl2_a_DN3787_c0_g1_i1	1500	1322.08	1	1.63603
lpl2_a_DN3793_c0_g1_i1	1162	984.079	0	0
lpl2_a_DN3799_c0_g1_i2	659	481.772	1	4.48958
lpl2_a_DN3798_c0_g2_i2	2677	2499.08	1	0.865501
lpl2_a_DN3780_c0_g1_i1	533	359.608	0	0
lpl2_a_DN3780_c0_g2_i1	719	541.466	0	0
lpl2_a_DN3796_c0_g1_i1	970	792.079	0	0
lpl2_a_DN3736_c0_g1_i1	519	346.215	0	0
lpl2_a_DN3772_c0_g1_i1	1250	1072.08	1	2.01753
lpl2_a_DN3781_c0_g1_i1	1387	1209.08	1	1.78893
lpl2_a_DN3797_c1_g1_i1	981	803.079	0	0
lpl2_a_DN3779_c0_g1_i1	537	363.296	0	0
lpl2_a_DN3747_c1_g1_i1	755	577.399	0	0
lpl2_a_DN3741_c1_g1_i1	857	679.169	0	0
lpl2_a_DN3782_c0_g1_i1	1141	963.079	0	0
lpl2_a_DN3776_c0_g1_i1	1081	903.079	1	2.39509
lpl2_a_DN3771_c0_g2_i1	985	807.079	0	0
lpl2_a_DN3742_c0_g1_i3	3914	3736.08	3	1.73681
lpl2_a_DN3791_c0_g1_i1	606	429.993	0	0
lpl2_a_DN3762_c0_g1_i1	1170	992.079	0	0
lpl2_a_DN3762_c0_g2_i1	573	398.404	0	0
lpl2_a_DN5_c0_g1_i2	14055	13877.1	123	19.1714
lpl2_a_DN89_c0_g1_i3	1909	1731.08	3	3.74845
lpl2_a_DN89_c0_g2_i1	1124	946.079	1	2.28623
lpl2_a_DN37_c0_g1_i1	7387	7209.08	17	5.10054
lpl2_a_DN75_c0_g1_i3	1818	1640.08	3.96258	5.22589
lpl2_a_DN75_c0_g2_i1	1471	1293.08	1	1.67272
lpl2_a_DN96_c0_g1_i10	6907	6729.08	2.77838	0.893067
lpl2_a_DN96_c0_g1_i3	6952	6774.08	19.2216	6.13744
lpl2_a_DN96_c0_g2_i1	6437	6259.08	3	1.03671
lpl2_a_DN96_c0_g3_i1	947	769.079	0	0
lpl2_a_DN8_c0_g1_i1	1662	1484.08	7	10.2021
lpl2_a_DN85_c0_g2_i1	2778	2600.08	0	0
lpl2_a_DN93_c0_g1_i2	3590	3412.08	5	3.16955
lpl2_a_DN93_c0_g2_i1	789	611.328	0	0
lpl2_a_DN10_c0_g1_i6	2288	2110.08	153	156.834
lpl2_a_DN52_c0_g1_i1	745	567.399	1	3.81205
lpl2_a_DN52_c0_g2_i1	635	458.229	0	0
lpl2_a_DN22_c0_g1_i32	703	525.466	0	0
lpl2_a_DN86_c0_g1_i1	15392	15214.1	31	4.40721
lpl2_a_DN47_c0_g1_i3	1024	846.079	0	0
lpl2_a_DN55_c0_g1_i1	1469	1291.08	0	0
lpl2_a_DN55_c0_g2_i2	2679	2501.08	0	0
lpl2_a_DN38_c0_g1_i2	2502	2324.08	4.99967	4.65305
lpl2_a_DN38_c0_g1_i4	2569	2391.08	0.000327078	0.000295872
lpl2_a_DN51_c0_g1_i9	3183	3005.08	13	9.35696
lpl2_a_DN68_c0_g1_i1	1272	1094.08	0	0
lpl2_a_DN68_c0_g2_i1	559	384.693	0	0
lpl2_a_DN44_c0_g1_i7	3132	2954.08	5419.71	3968.27
lpl2_a_DN18_c0_g1_i8	6303	6125.08	50.2434	17.7425
lpl2_a_DN46_c0_g1_i1	945	767.079	0	0
lpl2_a_DN46_c0_g4_i1	2470	2292.08	5	4.71832
lpl2_a_DN2_c0_g1_i2	2818	2640.08	3	2.45783
lpl2_a_DN94_c0_g2_i1	2961	2783.08	4	3.10872
lpl2_a_DN94_c0_g3_i1	850	672.169	2	6.43574
lpl2_a_DN36_c0_g1_i1	2156	1978.08	1	1.09346
lpl2_a_DN36_c0_g2_i1	3414	3236.08	2	1.33677
lpl2_a_DN26_c0_g1_i1	2852	2674.08	2	1.61772
lpl2_a_DN26_c0_g2_i1	2924	2746.08	1	0.787652
lpl2_a_DN14_c0_g1_i28	1661	1483.08	9.4621	13.7997
lpl2_a_DN14_c2_g1_i1	1535	1357.08	2.00398	3.194
lpl2_a_DN7_c0_g1_i3	1170	992.079	1.46691	3.1982
lpl2_a_DN87_c0_g1_i2	2020	1842.08	0	0
lpl2_a_DN87_c0_g1_i3	3115	2937.08	14	10.31
lpl2_a_DN87_c0_g2_i1	637	460.173	0	0
lpl2_a_DN87_c1_g1_i1	1200	1022.08	3	6.34869
lpl2_a_DN87_c1_g2_i1	605	428.993	0	0
lpl2_a_DN97_c0_g1_i4	11321	11143.1	9	1.74697
lpl2_a_DN97_c0_g1_i5	3637	3459.08	3	1.87589
lpl2_a_DN84_c0_g1_i1	744	566.399	0	0
lpl2_a_DN12_c0_g1_i2	585	409.558	128.82	680.324
lpl2_a_DN28_c0_g1_i4	5108	4930.08	14.0541	6.16588
lpl2_a_DN28_c1_g1_i1	12541	12363.1	27.5762	4.82452
lpl2_a_DN57_c0_g1_i1	579	404.108	0	0
lpl2_a_DN34_c0_g1_i1	2565	2387.08	2	1.81222
lpl2_a_DN34_c0_g2_i1	1086	908.079	0.000498583	0.00118758
lpl2_a_DN66_c0_g1_i1	1380	1202.08	0	0
lpl2_a_DN66_c0_g2_i1	1142	964.079	0	0
lpl2_a_DN95_c0_g1_i4	6191	6013.08	3	1.07912
lpl2_a_DN95_c0_g2_i1	4030	3852.08	1	0.561503
lpl2_a_DN92_c0_g1_i2	1124	946.079	4	9.14492
lpl2_a_DN92_c0_g1_i3	882	704.169	0	0
lpl2_a_DN92_c1_g1_i1	2627	2449.08	1	0.883171
lpl2_a_DN92_c1_g1_i3	1089	911.079	0	0
lpl2_a_DN92_c1_g1_i4	811	633.328	0	0
lpl2_a_DN92_c1_g2_i1	968	790.079	2	5.47529
lpl2_a_DN70_c0_g1_i2	777	599.328	2.22527	8.03091
lpl2_a_DN70_c0_g1_i8	767	589.328	0	0
lpl2_a_DN27_c0_g1_i11	4502	4324.08	2.12883	1.06486
lpl2_a_DN27_c0_g1_i3	3636	3458.08	11.8712	7.42516
lpl2_a_DN27_c1_g1_i1	1126	948.079	0	0
lpl2_a_DN39_c0_g1_i6	3649	3471.08	20	12.4627
lpl2_a_DN74_c0_g1_i1	1099	921.079	0	0
lpl2_a_DN74_c0_g2_i1	1698	1520.08	0	0
lpl2_a_DN42_c0_g1_i12	4028	3850.08	7.90146	4.439
lpl2_a_DN42_c1_g1_i7	8141	7963.08	25.4828	6.9217
lpl2_a_DN91_c1_g1_i1	696	518.466	3	12.5155
lpl2_a_DN4_c0_g1_i1	3444	3266.08	12	7.94698
lpl2_a_DN54_c0_g1_i2	1644	1466.08	2	2.95067
lpl2_a_DN54_c0_g1_i3	1663	1485.08	1	1.45646
lpl2_a_DN31_c0_g1_i14	1042	864.079	55.9823	140.134
lpl2_a_DN31_c0_g1_i15	780	602.328	28.7262	103.156
lpl2_a_DN64_c0_g1_i3	2674	2496.08	12	10.3985
lpl2_a_DN48_c0_g1_i2	1280	1102.08	3	5.88784
lpl2_a_DN48_c0_g1_i4	844	666.169	0	0
lpl2_a_DN24_c0_g1_i2	1458	1280.08	16	27.0353
lpl2_a_DN24_c1_g1_i1	522	349	0	0
lpl2_a_DN65_c0_g1_i1	4401	4223.08	3	1.53652
lpl2_a_DN65_c0_g2_i2	5288	5110.08	5	2.11636
lpl2_a_DN49_c0_g2_i1	2748	2570.08	1	0.841591
lpl2_a_DN49_c0_g3_i2	2464	2286.08	3	2.83842
lpl2_a_DN72_c0_g1_i1	503	330.883	0	0
lpl2_a_DN67_c0_g1_i1	1283	1105.08	14	27.402
lpl2_a_DN60_c0_g1_i1	1605	1427.08	0	0
lpl2_a_DN60_c0_g2_i1	2298	2120.08	0	0
lpl2_a_DN53_c0_g1_i2	648	470.888	1	4.59335
lpl2_a_DN69_c0_g1_i3	4357	4179.08	11	5.69324
lpl2_a_DN29_c0_g1_i3	4006	3828.08	4	2.26009
lpl2_a_DN29_c1_g1_i1	2217	2039.08	2	2.1215
lpl2_a_DN29_c1_g2_i1	2705	2527.08	1	0.855911
lpl2_a_DN56_c0_g1_i6	6402	6224.08	7.28909	2.53306
lpl2_a_DN9_c0_g1_i1	819	641.328	31.4619	106.109
lpl2_a_DN9_c0_g1_i2	1141	963.079	0	0
lpl2_a_DN82_c0_g1_i3	7395	7217.08	7	2.0979
lpl2_a_DN82_c1_g1_i1	2229	2051.08	3	3.16363
lpl2_a_DN82_c1_g2_i1	1122	944.079	0	0
lpl2_a_DN6_c0_g1_i3	4846	4668.08	2	0.9267
lpl2_a_DN6_c0_g1_i6	4904	4726.08	0	0
lpl2_a_DN83_c0_g1_i5	2255	2077.08	0	0
lpl2_a_DN83_c0_g1_i6	2084	1906.08	0	0
lpl2_a_DN99_c0_g2_i2	8398	8220.08	7	1.84191
lpl2_a_DN98_c0_g1_i2	1435	1257.08	1	1.72062
lpl2_a_DN98_c0_g1_i4	1535	1357.08	0	0
lpl2_a_DN0_c0_g1_i1	2661	2483.08	8	6.96862
lpl2_a_DN0_c0_g1_i4	2716	2538.08	0	0
lpl2_a_DN19_c0_g1_i2	2848	2670.08	2	1.62014
lpl2_a_DN13_c0_g1_i14	7766	7588.08	32.5067	9.2659
lpl2_a_DN13_c0_g1_i19	3737	3559.08	11.5027	6.99054
lpl2_a_DN13_c0_g1_i24	4572	4394.08	745.684	367.058
lpl2_a_DN3_c0_g1_i6	3153	2975.08	1	0.727024
lpl2_a_DN15_c0_g1_i12	636	459.229	1.00093	4.71433
lpl2_a_DN15_c0_g1_i3	601	424.993	0	0
lpl2_a_DN15_c0_g1_i5	521	348.087	550.391	3420.04
lpl2_a_DN43_c0_g1_i1	1081	903.079	1.59125	3.81119
lpl2_a_DN90_c0_g1_i2	2048	1870.08	0	0
lpl2_a_DN90_c0_g2_i1	525	351.741	0	0
lpl2_a_DN17_c0_g1_i1	640	463.117	0	0
